ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone
5589,"Vardø Airport, Svartnes",Vardø,Norway,VAW,ENSS,70.355400085449,31.044900894165,42,1.0
13214,Siguiri Airport,Siguiri,Guinea,GII,GUSI,11.432999610901,-9.1669998168945,1296,0.0
3807,Reno Tahoe International Airport,Reno,United States,RNO,KRNO,39.49909973144531,-119.76799774169922,4415,-8.0
3842,Barksdale Air Force Base,Shreveport,United States,BAD,KBAD,32.5018005371,-93.6626968384,166,-6.0
11900,King Salman Abdulaziz Airport,,Saudi Arabia,DWD,OEDM,24.4499,44.121201,3026,3.0
9751,Washabo Airport,Washabo,Suriname,WSO,SMWS,5.215277,-57.185302,68,-3.0
6223,Radin Inten II (Branti) Airport,Bandar Lampung-Sumatra Island,Indonesia,TKG,WIAT,-5.240556,105.175556,282,7.0
5577,Donegal Airport,Dongloe,Ireland,CFN,EIDL,55.0442008972168,-8.340999603271484,30,0.0
4011,Manchester-Boston Regional Airport,Manchester NH,United States,MHT,KMHT,42.932598,-71.435699,266,-5.0
5434,Tabubil Airport,Tabubil,Papua New Guinea,TBG,AYTB,-5.27861,141.225998,1570,10.0
5758,Owensboro Daviess County Airport,Owensboro,United States,OWB,KOWB,37.74010086,-87.16680145,407,-6.0
5420,Chimbu Airport,Kundiawa,Papua New Guinea,CMU,AYCH,-6.024290084838867,144.9709930419922,4974,10.0
3055,Silchar Airport,Silchar,India,IXS,VEKU,24.9129009247,92.9786987305,352,5.5
5545,Masset Airport,Masset,Canada,ZMT,CZMT,54.02750015258789,-132.125,25,-8.0
241,Laghouat Airport,Laghouat,Algeria,LOO,DAUL,33.7644004822,2.92833995819,2510,1.0
2015,Hamilton International Airport,Hamilton,New Zealand,HLZ,NZHN,-37.8666992188,175.332000732,172,12.0
9844,Anshan Air Base,Anshan,China,AOG,ZYAS,41.105301,122.853996,0,8.0
7616,Ulawa Airport,Ulawa,Solomon Islands,RNA,AGAR,-9.86054358262,161.979546547,40,11.0
5470,Ogoki Post Airport,Ogoki Post,Canada,YOG,CNT3,51.6585998535,-85.9017028809,594,-5.0
1094,Nouakchott–Oumtounsy International Airport,Nouakschott,Mauritania,NKC,GQNO,18.31,-15.9697222,9,0.0
5717,Alamogordo White Sands Regional Airport,Alamogordo,United States,ALM,KALM,32.8399009705,-105.990997314,4200,-7.0
5629,Manja Airport,Manja,Madagascar,MJA,FMSJ,-21.426105,44.316509,787,3.0
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,0.0
465,Belfast International Airport,Belfast,United Kingdom,BFS,EGAA,54.6575012207,-6.21582984924,268,0.0
7177,Ambler Airport,Ambler,United States,ABL,PAFM,67.1063,-157.856989,334,-9.0
1048,Timbuktu Airport,Tombouctou,Mali,TOM,GATB,16.730499267578125,-3.007580041885376,863,0.0
8482,Grabtsevo Airport,Kaluga,Russia,KLF,UUBC,54.5499992371,36.3666687012,656,3.0
2600,Prefeito Doutor João Silva Filho Airport,Parnaiba,Brazil,PHB,SBPB,-2.89374995232,-41.73199844359999,16,-3.0
5568,Stronsay Airport,Stronsay,United Kingdom,SOY,EGER,59.1553001404,-2.64139008522,39,0.0
1980,Kaukura Airport,Kaukura Atoll,French Polynesia,KKR,NTGK,-15.663299560546877,-146.88499450683594,11,-10.0
6067,Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,HUU,SPNC,-9.878809928894045,-76.20480346679688,6070,-5.0
2113,Lavan Island Airport,Lavan Island,Iran,LVP,OIBV,26.810300827026367,53.35630035400391,76,3.5
478,Manchester Airport,Manchester,United Kingdom,MAN,EGCC,53.35369873046875,-2.2749500274658203,257,0.0
13711,Lutselk'e Airport,Lutselk'e,Canada,YSG,CYLK,62.418303,-110.681998,596,-7.0
2660,De La Independencia Airport,Rancagua,Chile,QRC,SCRG,-34.17369842529297,-70.77570343017578,1446,-4.0
5456,Whistler/Green Lake Water Aerodrome,Whistler,Canada,YWS,CAE5,50.1436004639,-122.948997498,2100,-8.0
4105,Hosea Kutako International Airport,Windhoek,Namibia,WDH,FYWH,-22.4799,17.4709,5640,1.0
3387,Ningbo Lishe International Airport,Ninbo,China,NGB,ZSNB,29.82670021057129,121.46199798583984,13,8.0
2474,Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,PSS,SARP,-27.3858,-55.9707,430,-3.0
6273,Hooker Creek Airport,Hooker Creek,Australia,HOK,YHOO,-18.3367004395,130.638000488,320,9.5
582,Maastricht Aachen Airport,Maastricht,Netherlands,MST,EHBK,50.911701,5.77014,375,1.0
6777,Capitan Corbeta CA Curbelo International Airport,Punta del Este,Uruguay,PDP,SULS,-34.855098724365234,-55.09429931640625,95,-3.0
6017,Tandag Airport,Tandag,Philippines,TDG,RPMW,9.072110176086426,126.1709976196289,16,8.0
8136,Prineville Airport,Prineville,United States,PRZ,KS39,44.286998748779,-120.90399932861,3250,-8.0
1331,Bourges Airport,Bourges,France,BOU,LFLD,47.058101654052734,2.3702800273895264,529,1.0
9392,Tadjoura Airport,Tadjoura,Djibouti,TDJ,HDTJ,11.782999992370604,42.91699981689453,246,3.0
621,Skrydstrup Air Base,Skrydstrup,Denmark,SKS,EKSP,55.221048,9.26702,141,1.0
5833,Mili Island Airport,Mili Island,Marshall Islands,MIJ,MLIP,6.08333,171.733002,4,12.0
4352,Norilsk-Alykel Airport,Norilsk,Russia,NSK,UOOO,69.31109619140625,87.33219909667969,574,7.0
12672,Marion County Brown Field,Jasper,United States,APT,KAPT,35.060699,-85.585297,641,-5.0
6088,Kostanay West Airport,Kostanay,Kazakhstan,KSN,UAUU,53.20690155029297,63.55030059814453,595,6.0
468,City of Derry Airport,Londonderry,United Kingdom,LDY,EGAE,55.04280090332031,-7.161109924316406,22,0.0
1100,Faranah Airport,Faranah,Guinea,FAA,GUFH,10.0354995728,-10.7698001862,1476,0.0
3482,Dalhart Municipal Airport,Dalhart,United States,DHT,KDHT,36.0225982666,-102.54699707,3991,-6.0
7991,Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,AIZ,KAIZ,38.0960006714,-92.54949951170002,869,-6.0
508,Southend Airport,Southend,United Kingdom,SEN,EGMC,51.5713996887207,0.6955559849739075,49,0.0
2361,Gwangju Airport,Kwangju,South Korea,KWJ,RKJJ,35.123173,126.805444,39,9.0
968,Omboue Hopital Airport,Omboue Hospial,Gabon,OMB,FOOH,-1.5747300386428833,9.262689590454102,33,1.0
7253,Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,Canada,YWB,CYKG,61.5886001587,-71.929397583,501,-5.0
1486,Thessaloniki Macedonia International Airport,Thessaloniki,Greece,SKG,LGTS,40.51969909667969,22.97089958190918,22,2.0
3941,Eleftherios Venizelos International Airport,Athens,Greece,ATH,LGAV,37.9364013672,23.9444999695,308,2.0
